;Pesquisador;Título;;;;;;;;;;;;;;;;;;;;;;;
31;Fernando Luis Rossi;A implantação da gestão de facilities em um Centro de Distribuição: um estudo de caso A new efficient heuristic method for minimizing the total tardiness in a no-idle permutation flow shop A two-stage iterated greedy algorithm and a multi-objective constructive heuristic for the mixed no-idle flowshop scheduling problem to minimize makespan subject to total completion time ACESSIBILIDADE E LEGISLAÇÃO NO BRASIL ? UM ESTUDO NA CPTM An effective constructive heuristic for permutation flow shop scheduling problem with total flow time criterion An objective review and perspectives on the permutation flowshop scheduling with no-wait constraint and setup times Beam search-based heuristics for the mixed no-idle flowshop with total flowtime criterion ECONOMIA CIRCULAR E POLÍTICAS PÚBLICAS: LEGISLAÇÃO E DESAFIOS Economia Circular no Brasil: Estudo de caso em um Centro de Recondicionamento de Computadores ECONOMIA CIRCULAR: CONCEITOS E PERSPECTIVAS NA SOCIEDADE CONTEMPORÂNEA Evaluation of high performance constructive heuristics for the flow shop with makespan minimization FERRAMENTAS DO MARKETING DIGITAL COMO ESTRATÉGIA DE CONSOLIDAÇÃO DE MARCA: UM ESTUDO SOBRE C6 BANK GESTÃO DE DOCUMENTOS E A SUA IMPORTÂNCIA NO GERENCIAMENTO DE PROJETOS Heuristics and Iterated Greedy Algorithms for the Distributed Mixed No-idle Flowshop With Sequence-Dependent Setup Times Heuristics and metaheuristics for the mixed no-idle flowshop with sequence-dependent setup times and total tardiness minimisation Heuristics for the mixed no-idle flowshop with sequence-dependent setup times Heuristics for the mixed no-idle flowshop with sequence-dependent setup times and total flowtime criterion High-performing heuristics to minimize flowtime in no-idle permutation flowshop Overbooking: Uma Gestão de Conflitos Operacionais de uma Companhia Aérea PROJETO CATANDO HISTÓRIAS?INTEGRANDO O CONHECIMENTO SOBRE LOGÍSTICA REVERSA COM A HISTÓRIA DA CIDADE DE SÃO PAULO RISCO ENERGÉTICO NAS CIDADES: AUMENTANDO A RESILIÊNCIA PELO CONTROLE DAS OPERAÇÕES;;;;;;;;;;;;;;;;;;;;;;;
32;Fernando da Silva Pardo;(Shadow of) The Raven: uma adaptação intermidiática da literatura para a música A autoetnografia em pesquisas em Linguística Aplicada: reflexões do sujeito pesquisador/pesquisado. Decolonialidade e ensino de línguas: perspectivas e desafios para a construção do conhecimento corporificado no cenário político atual Discursos de ódio e liberdade de expressão em ambientes digitais: implicações sociais e legais Epistemologias digitais, cibercultura e a construção de relatos pessoais multimodais no ensino e aprendizagem de língua inglesa Literatura e(m) mídias: práticas pedagógicas (in)disciplinadas? O ENSINO DE INGLÊS NOS ANOS INICIAIS DA ESCOLA PÚBLICA: POR QUÊ? PARA QUÊ? PARA QUEM? OBSERVAÇÕES E ANÁLISES SOBRE O ENSINO DE INGLÊS NO ENSINO FUNDAMENTAL-I PÚBLICO: diálogos entre professor e alunos;;;;;;;;;;;;;;;;;;;;;;;
33;Filipe Mantovani Ferreira;As analogias no debate parl amentar: o caso da oposição ao PL 122/06;;;;;;;;;;;;;;;;;;;;;;;
34;Flávia Roberta Torezin;TOREZIN, Flávia Roberta. O conceito de interesse na formação de professores do Ensino Secundário Brasileiro nas décadas de 1950 ? 1960;;;;;;;;;;;;;;;;;;;;;;;
35;Hadassa Viviane Rodrigues;Encaixotando minha biblioteca: uma elegia e dez digressões, de Alberto Manguel São Paulo: Companhia das Letras, 2021, 184 p Para ouvir e ler: o podcast como meio de incentivo à leitura;;;;;;;;;;;;;;;;;;;;;;;
36;Idalise Bernardo Bagé;A Formação Continuada de Professores a Distância: Um olhar sobre o curso de ingressantes oferecido aos docentes de Matemática do Estado de São Paulo A formação continuada de professores a distância: Um olhar sobre o curso de ingressantes oferecido aos docentes de Matemática do Estado de São Paulo ESTUDO DA ÁREA DE ENGENHARIA DA SUSTENTABILIDADE APLICADA NAS EMPRESAS Formação Continuada de Professores: Uma proposta de curso para o ensino de Estatística e Probabilidade com o uso das Tecnologias Digitais Formação Continuada de Professores: uma proposta de curso para o ensino de Estatística e Probabilidade com o uso de Tecnologias Digitais O currículo do Estado de São Paulo e a Formação de Professores de Matemática: A Experiência do Programa M@tmídias O Fenômeno das Marés: Uma possibilidade para o ensino das função seno e cosseno utilizando as tecnologias digitais O Fenômeno das Marés: Uma possibilidade para o Ensino das Funções Seno e Cosseno Utilizando Políticas Públicas de Formação de Professores: O contexto do curso de Ingressantes do Estado de São Paulo Um olhar reflexivo para Avaliação Educacional;;;;;;;;;;;;;;;;;;;;;;;
37;Igor Calebe Zadi;Complex World: um jogo para auxiliar o aprendizado de inglês como segunda língua utilizando a abordagem pedagógica do Pensamento Complexo Juego digital para aprender inglés como segunda lengua utilizando el pensamiento complejo;;;;;;;;;;;;;;;;;;;;;;;
38;Igor Polezi Munhoz;A Patent Study Of Emerging Pharmaceutical Markets: The Case Of Brics Countries Análise dos impactos diretos e indiretos do Programa de P Assessing the digital maturity of micro and small enterprises: a focus on an emerging market Assessment of safety culture maturity in a food industry: a comparison between manufacturing and administration sector Biomimicry Applied in Engineering Education: a Case Study in PUC-SP Biopharmaceutical innovation on pharmerging countries: a quantitative analysis and scenario prediction Ergonomia e qualidade de vida no trabalho: um estudo de caso no agronegócio brasileiro Estresse e Satisfação no Trabalho: um Estudo entre Gestores da Área Comercial Green Roof: Implantation Study at the Pontifical Catholic University of Sao Paulo Human aging and ageism: a study with Brazilian individuals over 40 years old Impacto da Indústria 4.0 na geração de inovação em tecnologias médicas: uma abordagem patentária Industry 4.0: Technology Mapping and the importance of Cognitive Ergonomics Inovação tecnológica na indústria farmacêutica: diferenças entre a Europa, os EUA e os países farmaemergentes International publication trends in Lean Agile Management research: a bibliometric analysis Lean Accounting: Economic-financial Performance of Companies with Lean Manufacturing Operacionalização da metodologia Kaizen a fim de otimizar o desempenho organizacional: um enfoque na gestão de processos em uma indústria eletrônica Padronização de informações e viabilidade de implantação do ecotelhado na Pontifícia Universidade Católica de São Paulo Patentes Farmacêuticas e Biofarmacêuticas: A Oportunidade Dos Países Farmaemergentes Pharmaceutical emerging markets: technological mapping and innovation networks Relação entre o uso de proteção patentária e os níveis econômicos, educacional e tecnológico de um país: O estudo do caso norte-americano Sustainability at the Faculty of Exact Sciences and Technology of the PUC-SP: study of green roof application Sustainability in the Energy Sector: Scientific and Technological Mapping of Magnesium Batteries THE IMPACT OF THE BRAZILIAN MONETARY POLICY ON THE EBITDA OF THE COMPANIES AND THEIR CONSEQUENT INFLUENCE ON THE INVESTMENT OF THESE COMPANIES TO IMPLY SUSTAINABLE DEVELOPMENT GOALS;;;;;;;;;;;;;;;;;;;;;;;
39;Ingrid Anelise Lopes;Desempenho escolar de estudantes com deficiência intelectual: considerações com base em produções acadêmicas e científicas Desempenho escolar de estudantes com deficiência intelectual: considerações com base em produções acadêmicas e científicas Evidências de aprendizagem de estudantes com deficiência intelectual: um estudo em escola municipal paulistana;;;;;;;;;;;;;;;;;;;;;;;
40;Irando Alves Martins Neto;Ensino crítico de língua portuguesa no IFSP ? Campus Presidente Epitácio Heterogeneidade da escrita: ?erros? ortográficos propositais emredes sociais digitais e a construção do sentido Implicações de abordagens críticas de ensino de inglês na (trans)formação pessoal do professor Letramento digital e literatura: saberes literários no mundo digital Perspectivas dos Estudos de Letramento no estado de São Paulo Pessoalidade e subjetividade do estudante-leitor na escolarização do texto literário Sociolinguística, formação crítica e livro didático SOUTHERN VOICES: SUBVERSIVE LITERACIES OF MIGRANT WOMEN IN ADULT EDUCATION Tendências na abordagem da leitura em livros didáticos no século XXI Zonas culturais híbridas em práticas de letramento escolar;;;;;;;;;;;;;;;;;;;;;;;
41;Jair Garcia dos Santos;DIFICULDADES ESPECÍFICAS DE APRENDIZAGEM: ANÁLISE DE ARTIGOS PUBLICADOS NA REVISTA EDUCAÇÃO ESPECIAL E REVISTA BRASILEIRA DE EDUCAÇÃO ESPECIAL DE 2012 E 2022 ESTUDANTES COM TEA NO ENSINO SUPERIOR OBJETIVOS DE DESENVOLVIMENTO SUSTENTÁVEL: A EDUCAÇÃO ESPECIAL E A IMPLEMENTAÇÃO DA META 4 DA AGENDA 2030 NO IFPR CAMPUS UMUARAMA PANORAMA DO PROGRAMA VIDA NO TRÂNSITO: UMA PESQUISA DO TIPO ESTADO DA ARTE PROJETO DE ENSINO DE LIBRAS COM PRODUÇÃO DE MATERIAL DIDÁTICO;;;;;;;;;;;;;;;;;;;;;;;
42;Jairo Filho Sousa de Almeida Ferreira;Assessing community vulnerability with disaster risk mapping: the case of São Paulo, Brazil Mudanças climáticas e planejamento urbano: revisão sistemática da literatura pelo método PRISMA Understanding Sustainable Energy in the Context of Smart Cities: A PRISMA Review;;;;;;;;;;;;;;;;;;;;;;;
43;Jeferson Antunes;Análise crítica de conteúdo, neurociência e a crítica ao interpretativismo ANÁLISE DAS DINÂMICAS DE PESQUISA DA UFCA EM SEUS 10 ANOS Análise de desenvolvimento temático acerca da Educação Ambiental Análise do desenvolvimento temático de estudos relacionando educação e covid-19 Análise do desenvolvimento temático dos estudos sobre games na educação ARTICULAÇÃO DAS POLTÍCAS PÚBLICAS DE SÁUDE MENTAL E ECONOMIA SOLIDÁRIA - INICIATIVAS DE GERAÇÃO DE TRABALHO E RENDA CICLO CRIATIVO DE JOGOS COLABORATIVOS: UM MÉTODO PARA CRIAÇÃO DE JOGOS EDUCATIVOS Ciência dos jogos aplicada a educação: um estudo do processo criativo de confecção do jogo analógico Umuechem. Como escrever um relato de experiência de forma sistematizada? Contribuições metodológicas Como os estudantes percebem a sustentabilidade na educação superior? Um estudo qualiquantitativo sobre a Universidade Federal do Cariri - CE Considerações e resultados acerca da aplicação da Criativa: metodologia educativa fomentada por meio dos jogos cooperativos DESAFIOS PARA UMA GESTÃO SUSTENTÁVEL: JUAZEIRO DO NORTE/ CE E O SANEAMENTO BÁSICO Desenvolvimento temático: contribuições metodológicas da bibliometria e cientometria para as revisões de literatura Diagnóstico rápido participativo como método de pesquisa em educação DIAGNÓSTICO RÁPIDO PARTICIPATIVO PARA CONSELHOS GESTORES MUNICIPAIS Dinâmicas da pesquisa latino-americana em formação de professores e professoras Educação para sustentabilidade, interdisciplinaridade e as contribuições da mediação para a construção coletiva do conhecimento.<br>Education for sustainability, interdisciplinarity and mediation contributions for the collective construction of knowledge.<br>Educación para la sostenibilidad, interdisciplinaridad y la contribiución de la mediación para la construcción co EPISTEMOLOGIA E PESQUISA EDUCACIONAL Gamificando metodologias ativas no ensino superior: práticas de formação inicial em pesquisa científica In: Congresso Nacional de Educação, 2018, Recife. Anais V CONEDU. Campina Grande: Realize Jogo, Tortura e Formação Social: Contribuição Materialista Sobre o Jogo e o Jogar Jogos cooperativos e mediação da leitura: por que não na biblioteca pública? Metodologias ativas na educação: problemas, projetos e cooperação na realidade educativa Mulheres e a Encosta do Seminário: relação entre moradoras do bairro e o pertencimento pós-obra Narrativa crítica acerca do desenvolvimento sustentável: quais relações podemos estabelecer? O FUNCIONAMENTO DA POLÍTICA NACIONAL DE SAÚDE INTEGRAL DE LGBTS´S EM CRATO ? CE, PELA PERSPECTIVA DE MULHERES TRANSEXUAIS E TRAVESTIS: ?CLOSE CERTO OU ERRADO?? O PROTAGONISMO ESTUDANTIL NA EXTENSÃO UNIVERSITÁRIA: A EXPERIÊNCIA DO NÚCLEO DE ATUALIZAÇÃO PÚBLICA NA UNIVERSIDADE FEDERAL DO CARIRI OS DISCURSOS DE MULHERES DO BAIRRO LIMOEIRO, JUAZEIRO DO NORTE-CE, SOBRE A LEI MARIA DA PENHA Perfil preliminar de designers de jogos do Brasil Pesquisa & Desenvolvimento de produtos educacionais REPENSANDO POLÍTICAS PÚBLICAS: DESEMPENHO DE PORTUGAL E BRASIL NO ÍNDICE GLOBAL DA PAZ REVISÃO INTEGRATIVA ACERCA DAS ATIVIDADES EDUCATIVAS PARA A FORMAÇÃO DE CIENTISTAS Revisão integrativa das estratégias de ensino para formação de cientistas UTILIZANDO O DIAGNÓSTICO PARTICIPATIVO NA PESQUISA EDUCACIONAL: MÉTODOS, FERRAMENTAS E PROCESSOS VIVÊNCIAS LÚDICAS COMO PRÁTICA EDUCATIVA SOBRE DIREITOS HUMANOS: APLICAÇÃO DO JOGO DIÁRIO DE AMANHÃ COM ESTUDANTES DE DIREITO NO CEARÁ;;;;;;;;;;;;;;;;;;;;;;;
44;José Geraldo Basante;Competências dos Engenheiros na Indústria 4.0 ESG CONSTRUINDO DIFERENÇAS CORPORATIVAS, ATRAVES DE ESTRATÉGIAS DIRECIONADAS PARA OS PILARES TRANSPARÊNCIA E ACCONTABILITY;;;;;;;;;;;;;;;;;;;;;;;
45;José Roberto Campanele;CRM implementation as a competitive strategy of metalworking company Estrategic Planing The steps of strategic planing;;;;;;;;;;;;;;;;;;;;;;;
46;Juliana de Souza Topan;-Anjos e demônios estão em guerra-: o fantástico e o religioso na literatura para jovens adultos;;;;;;;;;;;;;;;;;;;;;;;
47;Junot de Oliveira Maia;Afrontando a necropolítica no Brasil: recursos linguísticos arrojados e artivismo como formas de sobreviver Agência crítica em Linguística Aplicada: negociações a partir de sobrevivências e reexistências no contexto brasileiro DESCOLEÃ?Ã?ES E REMIXES NA APRENDIZAGEM DE LÃ?NGUA INGLESA: UM ESTUDO DE CASO EM UMA ESCOLA PÃ?BLICA Digital rockets: Resisting necropolitics through defiant languaging and artivism LETRAMENTOS DE SOBREVIVÊNCIA EM REDES DIGITAIS: CAMINHOS POSSÍVEIS NA LUTA POR DIREITOS HUMANOS Popularidade e visibilidade em redes sociais online: negociação de capitais sociais em meio digital para ampliação de audiência Por um paradigma transperiférico: uma agenda para pesquisas socialmente engajadas Transperiferias: uma proposta para pesquisas socialmente engajadas;;;;;;;;;;;;;;;;;;;;;;;
48;Júlio Samuel Sávio Bernardo;ANÁLISE DOS BENEFÍCIOS SOCIOECONÔMICOS PROPORCIONADOS PELO CAMPUS SÃO PAULO PIRITUBA DO INSTITUTO FEDERAL DE SÃO PAULO (IFSP): A VISÃO DE ALUNOS ANÁLISE ESPACIAL E CONSERVAÇÃO DE ÁREAS VERDES NA REGIÃO NOROESTE CIDADE DE SÃO PAULO: UMA CONTRIBUIÇÃO PARA CIDADES MAIS SUSTENTÁVEIS EM TEMPOS DE MUDANÇAS CLIMÁTICAS CARACTERIZAÇÃO DAS ÁREAS VERDES NO ENTORNO DO IFSP CÂMPUS SÃO PAULO PIRITUBA UTILIZANDO GEOTECNOLOGIAS ELABORAÇÃO DE UM PROTOCOLO METODOLÓGICO PARA ANÁLISE DOS BENEFÍCIOS SOCIOECONÔMICOS PROPORCIONADOS PELO CAMPUS SÃO PAULO PIRITUBA DO IFSP;;;;;;;;;;;;;;;;;;;;;;;
49;Kamili Oliveira Santana;APLICAÇÃO DE GLICEROL BRUTO PRÉ-TRATADO EM PROCESSOS BIOLÓGICOS DE GERAÇÃO DE H2 Caracterização de glicerol bruto gerado a partir de óleo reciclado para geração de 1,3- propanodiol Crude glycerol by transesterification process from used cooking oils: Characterization and potentialities on hydrogen bioproduction Culturas mistas de bactérias anaeróbias geradoras de H2 aplicadas no consumo de glicerol bruto gerado em usinas de biodiesel a partir de óleos residuais domésticos Determination of alcohols and volatile organic acids in anaerobic bioreactors for H 2 production by near infrared spectroscopy Energy valorization of crude glycerol and sanitary sewage in hydrogen generation by biological processes Geração de biohidrogênio a partir de glicerol bruto utilizando consórcios de bactérias anaeróbias fermentativas e cultura pura Enterobacter sp PRODUÇÃO BIOLÓGICA DE GÁS HIDROGÊNIO A PARTIR DE GLICEROL BRUTO E ESGOTO SANITÁRIO Produção de hidrogênio e 1,3-propanodiol por codigestão de glicerol bruto;;;;;;;;;;;;;;;;;;;;;;;
50;Krícia Helena Barreto;Estratégias de proteção da face no cenário jurídico: um estudo de caso O uso de dêixis por um afásico e a manutenção da intersubjetividade no contexto da telefonoaudiologia On the Theory of Ritual Frame Indicating Expressions: a conversation with Juliane House and Daniel Kádár, discussing Goffman?s ideas;;;;;;;;;;;;;;;;;;;;;;;
51;Leandro Módolo Paschoalotte;A GESTÃO DO CUIDADO EM TEMPOS DE COVID-19: A SAÚDE MÓVEL E A BIOPOLÍTICA ALGORÍTMICA A NOVA ESPOLIAÇÃO: BIG DATA E O CONTROLE DOS DADOS A relação entre ciência e ideologia em tempos de hegemonia financeira: as biotecnociências e o mercado das promessas Digital health issues for the SUS: -mobile health- and the algorithmic automation of medical knowledge-power Inteligência artificial prestadora de serviços de saúde: sinais do actante suposto saber Medicina de dados, uma questão para a saúde coletiva? Para além do antropocentrismo biopolítico, para além de Antonio Negri! Questões da saúde digital para o SUS: a ?saúde móvel? e a automação algorítmica do saber-poder da medicina Sistemas públicos universais de saúde e a experiência cubana em face da pandemia de Covid-19;;;;;;;;;;;;;;;;;;;;;;;
52;Lincon Lopes;A EXPERIÊNCIA INTERNACIONAL NA PRODUÇÃO DE TECNOLOGIAS DUAIS PARA USO CIVIL E MILITAR E SEUS DESAFIOS Fusões e Aquisições no Setor Bancário: Estudo de Eventos na Década Marcada pela Crise no Sistema Financeiro Internacional (2001 A 2011) GEOANALYTICS APLICADO AO CONCEITO DE CIDADES INTELIGENTES UMA DISCUSSÃO EMPREENDEDORA E SUSTENTÁVEL SOBRE O RIO PINHEIROS;;;;;;;;;;;;;;;;;;;;;;;
53;Lucas Rodrigues dos Santos;Evaluation of the performance of radioprotection ionization chambers used in radiometric survey of radiology clinical systems. Filtration influence in a constant potential X-ray machine peak voltage measurements Mammography calibration qualities establishment in a Mo- Mo clinical system;;;;;;;;;;;;;;;;;;;;;;;
